id,date,airport_code,airport_name,airport_province,location,region,latitude,longitude,incident_type,reportable_incident,incident_country,serious_incident,damage,total_injured,total_uninjured,aircraft_id,aircraft_type,aircraft_model,aircraft_make,organization,operator_type,operation_type,destination_airport_code,destination_airport_name,departure_airport_code,departure_airport_name
125553,2006-05-10 09:20:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,46,87509,AEROPLANE,CL-600-2B19 (CRJ),CANADAIR,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YXS,PRINCE GEORGE,AM9,VANCOUVER INTL
125529,2006-05-02 17:39:00,YSJ,SAINT JOHN,NEW BRUNSWICK,SAINT JOHN,ATLANTIC,45.31666667,65.88333333,J. ROC / LOS,INCIDENT REPORTABLE,CANADA,No,NONE,0,219,108991,AEROPLANE,CL-600-2B19 (CRJ),CANADAIR,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YYZ,Lester B. Pearson Intl,YSJ,SAINT JOHN
125525,2006-05-07 05:22:00,YGL,LA GRANDE RIVIÈRE,QUEBEC,LA GRANDE RIVIÈRE,QUEBEC,53.63333333,77.7,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,5,35686,AEROPLANE,CL600-2A12,CANADAIR,SERVICE AERIEN DU QUEBEC,STATE,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YGL,LA GRANDE RIVIÈRE
125524,2006-05-09 13:04:00,PX8,SAULT STE. MARIE,ONTARIO,SAULT STE. MARIE,ONTARIO,46.48333333,84.51666667,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,12,59200,AEROPLANE,SA-227-AC,FAIRCHILD,BEARSKIN LAKE AIR SERVICE,COMMERCIAL,AIR TRANSPORT,PX8,SAULT STE. MARIE,KE6,THUNDER BAY
125514,2006-05-05 08:20:00,YXS,PRINCE GEORGE,BRITISH COLUMBIA,PRINCE GEORGE,PACIFIC,53.88333333,122.68333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,108977,AEROPLANE,DHC-2 MK I,DE HAVILLAND,PERSONAL CARRIER / NON-ORGANIZATION,CORPORATE,BUSINESS,YXS,PRINCE GEORGE,YXS,PRINCE GEORGE
125513,2006-05-07 11:30:00,SK3,MASCOUCHE,QUEBEC,MONTRÉAL,QUEBEC,45.71666667,73.56666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,108975,HELICOPTER,R22 BETA,ROBINSON HELICOPTER,QUEBEC HELICOPTERES,COMMERCIAL,TRAINING,SK3,MASCOUCHE,SK3,MASCOUCHE
125504,2006-05-05 11:25:00,AJ8,PITT MEADOWS,BRITISH COLUMBIA,PITT MEADOWS,PACIFIC,49.21666667,122.71666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,1,0,60492,AEROPLANE,UNKNOWN,UNKNOWN,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,AJ8,PITT MEADOWS,AJ8,PITT MEADOWS
125494,2006-05-04 07:40:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,COLLISION (x),INCIDENT REPORTABLE,CANADA,No,MINOR,0,41,47517,AEROPLANE,DHC-8-300,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,AH7,KAMLOOPS,YVR,Vancouver Intl
125489,2006-05-01 08:26:00,YVO,VAL-D'OR,QUEBEC,VAL-D'OR,QUEBEC,48.05,77.78333333,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,14,68701,AEROPLANE,1900D,BEECH,AIR CREEBEC,COMMERCIAL,AIR TRANSPORT,NB7,MOOSONEE,YGK,KINGSTON
125484,2006-04-28 00:43:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.68333333,79.63333333,UNABLE TO PERFORM (vi),INCIDENT REPORTABLE,CANADA,No,NONE,0,173,102434,AEROPLANE,A321-200,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YYZ,Lester B. Pearson Intl,YVR,Vancouver Intl
125462,2006-05-01 09:59:00,YKZ,Buttonville Municipal,ONTARIO,Toronto,ONTARIO,43.86666667,79.36666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,57632,AEROPLANE,PA-44-180,PIPER,TORONTO AIRWAYS,OTHER,OTHER,YKZ,Buttonville Municipal,YKZ,Buttonville Municipal
125460,2006-04-27 12:45:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.68333333,79.63333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,111,108940,AEROPLANE,737-700,BOEING,WESTJET,COMMERCIAL,AIR TRANSPORT,YOW,MacDonald-Cartier Intl,YWG,James Armstrong Richardson Intl
125438,2006-04-21 10:35:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,J. ROC / LOS,INCIDENT REPORTABLE,CANADA,No,NONE,0,20,108924,AEROPLANE,DHC-8 (DASH 8),DE HAVILLAND,HAWKAIR AVIATION SERVICES,COMMERCIAL,AIR TRANSPORT,YXT,TERRACE,YVR,Vancouver Intl
